Date,Tesla Close Price,Tesla Volume,Nickel Close Price,Nickel Volume,Lithium Close Price,Lithium Volume,NASDAQ Close Price,NASDAQ Volume,Day of the Week,Tesla Price MA10,Tesla Price MA50,Lithium Price MA10,Lithium Price MA50,Nickel Price MA10,Nickel Price MA50,Percentage Change Tesla,Percentage Change NASDAQ,Total Volume Tesla & NASDAQ
2015-09-29,49.330002,18516000,649.6,30600.0,17.84,4600,4517.319824,2293450000,Tuesday,48.6826005,44.93568010000002,18.969999899999998,20.1616,672.2299926757812,633.7099938964843,-0.007164975905386228,-0.005865001251994406,12814179300
2015-10-06,48.292,26126000,650.8,33570.0,19.620001000000002,5700,4748.359863000001,2085020000,Tuesday,48.6826005,44.93568010000002,18.969999899999998,20.1616,672.2299926757812,633.7099938964843,-0.01905342270972976,-0.006881011409158977,12605749300
2015-10-13,43.849998,25857500,680.7,31640.0,20.0,33200,4796.609863000001,1565060000,Tuesday,46.75320010000001,44.93568010000002,19.5859999,20.1616,672.2299926757812,633.7099938964843,0.01702377268244315,-0.008686381464619086,12085789300
2015-10-20,42.605999,74500000,678.6,27550.0,20.66,13900,4880.970215,1711700000,Tuesday,44.4105997,44.93568010000002,20.263999600000005,20.1616,677.5199951171875,633.7099938964843,-0.06606751569635072,-0.0049944243724248105,12232429300
2015-10-27,42.07,17597000,686.1,22120.0,20.360001,19500,5030.149902,1986840000,Tuesday,43.25680010000001,44.93568010000002,20.480000000000004,20.1616,679.7299926757812,633.7099938964843,-0.022809580173259292,-0.00090378628791421,12507569300
2015-11-03,41.669998,41662500,655.6,34700.0,20.9,29700,5145.129883,2028630000,Tuesday,42.20340010000002,44.93568010000002,20.701999900000004,20.1616,673.7399963378906,633.7099938964843,-0.025445554643471424,0.003506817889796121,12549359300
2015-11-10,43.299999,23085000,635.1,31500.0,20.16,25500,5083.240234000001,1906120000,Tuesday,43.82499990000002,44.93568010000002,20.767999800000002,20.1616,655.8299987792968,633.7099938964843,-0.039187035051389874,-0.0023668030266177364,12426849300
2015-11-17,42.799999,10743500,602.6,33720.0,20.459999,12400,4986.02002,1861710000,Tuesday,44.10220030000003,44.93568010000002,20.466,20.1616,631.2899963378907,633.7099938964843,-0.0014465260603798713,0.0002808444710209468,12382439300
2015-11-24,43.650002,12401500,584.0,64080.0,20.49,22300,5102.810059,1956920000,Tuesday,43.32800040000002,44.93568010000002,20.371000300000002,20.1616,599.4,633.7099938964843,0.0022962801905002106,6.468991574570815e-05,12477649300
2015-12-01,47.438,18670000,602.7,35000.0,20.280001000000002,12700,5156.310059,2035570000,Tuesday,44.83159990000002,44.93568010000002,20.430000300000007,20.1616,586.6199951171875,633.7099938964843,0.0300964574870346,0.009325350380309905,12556299300
2015-12-08,45.344002,13438000,580.6,36840.0,19.309998999999998,28200,5098.240234000001,1871450000,Tuesday,45.99760030000001,44.74572016000001,20.125999900000004,20.21319998,591.0699890136718,633.7099938964843,-0.01908017050663391,-0.0006997173471211537,12392179300
