Date,Tesla Close Price,Tesla Volume,Nickel Close Price,Nickel Volume,Lithium Close Price,Lithium Volume,NASDAQ Close Price,NASDAQ Volume,Day of the Week,Tesla Price MA10,Tesla Price MA50,Lithium Price MA10,Lithium Price MA50,Nickel Price MA10,Nickel Price MA50,Percentage Change Tesla,Percentage Change NASDAQ
2015-09-25,51.382,18867000,657.2,16950.0,18.559998999999998,5800,4686.5,2050530000,Friday,48.6826005,44.93568010000002,18.969999899999998,20.1616,672.2299926757812,633.7099938964843,-0.03300764859289251,-0.03041284220633733
2015-09-28,49.686001,24505500,648.1,29520.0,17.98,6100,4543.970215,2387610000,Monday,48.6826005,44.93568010000002,18.969999899999998,20.1616,672.2299926757812,633.7099938964843,-0.03300764859289251,-0.03041284220633733
2015-09-29,49.330002,18516000,649.6,30600.0,17.84,4600,4517.319824,2293450000,Tuesday,48.6826005,44.93568010000002,18.969999899999998,20.1616,672.2299926757812,633.7099938964843,-0.007164975905386228,-0.005865001251994406
2015-09-30,49.68,24648000,663.0,26130.0,18.58,7300,4620.160156,2398350000,Wednesday,48.6826005,44.93568010000002,18.969999899999998,20.1616,672.2299926757812,633.7099938964843,0.007095033160549935,0.02276578502447868
2015-10-01,47.976002,22865000,665.2,57400.0,18.780001000000002,7300,4627.080078,2133990000,Thursday,48.6826005,44.93568010000002,18.969999899999998,20.1616,672.2299926757812,633.7099938964843,-0.03429947665056354,0.0014977666934365974
2015-10-02,49.514,22120000,648.1,47200.0,18.879998999999998,3400,4707.779785,2183320000,Friday,48.6826005,44.93568010000002,18.969999899999998,20.1616,672.2299926757812,633.7099938964843,0.03205765249050985,0.01744074138325291
2015-10-05,49.23,18449500,648.1,47200.0,19.360001,20800,4781.259765999999,2005320000,Monday,48.6826005,44.93568010000002,18.969999899999998,20.1616,672.2299926757812,633.7099938964843,-0.005735751504625131,0.015608202667873883
2015-10-06,48.292,26126000,650.8,33570.0,19.620001000000002,5700,4748.359863000001,2085020000,Tuesday,48.6826005,44.93568010000002,18.969999899999998,20.1616,672.2299926757812,633.7099938964843,-0.01905342270972976,-0.006881011409158977
2015-10-07,46.391998,34070000,663.1,41040.0,19.879998999999998,5000,4791.149902,2149890000,Wednesday,48.6826005,44.93568010000002,18.969999899999998,20.1616,672.2299926757812,633.7099938964843,-0.03934403213782822,0.009011540876129986
2015-10-08,45.344002,30666000,663.0,29390.0,20.219998999999998,5400,4810.790039,1984230000,Thursday,48.6826005,44.93568010000002,18.969999899999998,20.1616,672.2299926757812,633.7099938964843,-0.022590016493792664,0.00409925329028038
2015-10-09,44.138,30792000,683.5,73340.0,20.299999,10100,4830.470215,1804260000,Friday,47.958200500000004,44.93568010000002,19.1439999,20.1616,672.2299926757812,633.7099938964843,-0.026596726067540377,0.00409084076429389
2015-10-12,43.116001000000004,19181500,682.8,39600.0,20.24,5700,4838.640136999999,1343820000,Monday,47.30120050000001,44.93568010000002,19.369999900000003,20.1616,672.2299926757812,633.7099938964843,-0.023154628664642574,0.0016913305819854507
2015-10-13,43.849998,25857500,680.7,31640.0,20.0,33200,4796.609863000001,1565060000,Tuesday,46.75320010000001,44.93568010000002,19.5859999,20.1616,672.2299926757812,633.7099938964843,0.01702377268244315,-0.008686381464619086
2015-10-14,43.375999,15522000,681.5,27130.0,20.059998999999998,4000,4782.850098,1902460000,Wednesday,46.122800000000005,44.93568010000002,19.733999800000003,20.1616,672.2299926757812,633.7099938964843,-0.010809555795190717,-0.002868643769871837
2015-10-15,44.262001,14221000,684.2,31830.0,20.34,10900,4870.100098,1942900000,Thursday,45.75139990000001,44.93568010000002,19.889999700000004,20.1616,672.2299926757812,633.7099938964843,0.0204260886302583,0.018242261039392416
2015-10-16,45.402,21672500,684.6,20900.0,20.42,5000,4886.689941,1855290000,Friday,45.3401999,44.93568010000002,20.043999800000005,20.1616,672.2299926757812,633.7099938964843,0.02575570408576877,0.0034064685871266764
2015-10-19,45.619999,12539500,673.2,27090.0,20.52,9900,4905.470215,1619920000,Monday,44.9791998,44.93568010000002,20.159999700000007,20.1616,674.7399963378906,633.7099938964843,0.004801528567023539,0.003843148271477581
2015-10-20,42.605999,74500000,678.6,27550.0,20.66,13900,4880.970215,1711700000,Tuesday,44.4105997,44.93568010000002,20.263999600000005,20.1616,677.5199951171875,633.7099938964843,-0.06606751569635072,-0.0049944243724248105
2015-10-21,42.018002,20757500,674.0,26110.0,20.440001000000002,8500,4840.120117,1895390000,Wednesday,43.9732001,44.93568010000002,20.319999800000005,20.1616,678.6099975585937,633.7099938964843,-0.013800803027761321,-0.008369257791096762
2015-10-22,42.344002,14126000,673.5,12620.0,20.68,5500,4920.049805,2156040000,Thursday,43.6732001,44.93568010000002,20.365999900000006,20.1616,679.6599975585938,633.7099938964843,0.007758579287039824,0.016513988510173938
2015-10-23,41.818001,21177500,682.1,36610.0,20.6,3800,5031.859863000001,2178270000,Friday,43.441200200000004,44.93568010000002,20.396000000000004,20.1616,679.5199951171875,633.7099938964843,-0.012422089910160139,0.022725391496316583
2015-10-26,43.051998,16957000,679.5,23300.0,20.719998999999998,21700,5034.700195,1758690000,Monday,43.43479990000001,44.93568010000002,20.4439999,20.1616,679.1899963378906,633.7099938964843,0.02950875150631882,0.0005644696150790551
2015-10-27,42.07,17597000,686.1,22120.0,20.360001,19500,5030.149902,1986840000,Tuesday,43.25680010000001,44.93568010000002,20.480000000000004,20.1616,679.7299926757812,633.7099938964843,-0.022809580173259292,-0.00090378628791421
2015-10-28,42.591999,13643000,682.9,27160.0,20.74,7900,5095.689941,2141130000,Wednesday,43.17840010000001,44.93568010000002,20.548000100000003,20.1616,679.8699951171875,633.7099938964843,0.012407867839315356,0.013029440528987246
2015-10-29,42.326,9025000,675.0,25420.0,20.879998999999998,7100,5074.27002,1928310000,Thursday,42.984800000000014,44.93568010000002,20.602000000000004,20.1616,678.9499938964843,633.7099938964843,-0.006245280950537224,-0.0042035369592751115
2015-10-30,41.386002000000005,22194500,660.5,20400.0,20.719998999999998,4800,5053.75,2016390000,Friday,42.583200200000014,44.93568010000002,20.631999900000004,20.1616,676.5399963378907,633.7099938964843,-0.02220852431129794,-0.004043935367869955
2015-11-02,42.757999,19639500,668.2,23780.0,20.98,12400,5127.149902,1888180000,Monday,42.297000200000014,44.93568010000002,20.677999900000003,20.1616,676.0399963378907,633.7099938964843,0.03315123311500323,0.014523849023002633
2015-11-03,41.669998,41662500,655.6,34700.0,20.9,29700,5145.129883,2028630000,Tuesday,42.20340010000002,44.93568010000002,20.701999900000004,20.1616,673.7399963378906,633.7099938964843,-0.025445554643471424,0.003506817889796121
2015-11-04,46.326,63632000,651.7,36690.0,21.08,14800,5142.47998,2096110000,Wednesday,42.63419990000001,44.93568010000002,20.765999800000003,20.1616,671.5099975585938,633.7099938964843,0.11173511455412122,-0.0005150313131560003
2015-11-05,46.354,22484000,649.3,38000.0,21.0,19800,5127.740234000001,2054490000,Thursday,43.035199700000014,44.93568010000002,20.797999800000003,20.1616,669.0899963378906,633.7099938964843,0.000604412209126659,-0.002866271926643349
2015-11-06,46.472,12226500,641.6,29050.0,20.82,9100,5147.120117,2066430000,Friday,43.500599600000015,44.93568010000002,20.8199998,20.1616,665.0399963378907,633.7099938964843,0.0025456271303447853,0.0037794198059213358
